ID Number,City Name,State,Depth,Excecution Time,Cost,Nodes Expanded
0901150,Ansonia city,Connecticut,5,0.008976221084594727,116.8848757072268,333
0902550,Baltic CDP,Connecticut,3,0.0019943714141845703,64.3918443724013,148
0902690,Bantam borough,Connecticut,6,0.013027667999267578,126.2108708728011,592
0904790,Bethel CDP,Connecticut,6,0.017956018447875977,134.62136109638152,603
0904945,Bethlehem Village CDP,Connecticut,6,0.00498199462890625,124.26119710439701,243
0906050,Blue Hills CDP,Connecticut,5,0.001995086669921875,91.70136769558293,232
0907345,Branford Center CDP,Connecticut,5,0.006981849670410156,105.5802921503671,351
0908000,Bridgeport city,Connecticut,6,0.016965150833129883,124.4814369216628,501
0908420,Bristol city,Connecticut,6,0.002981901168823242,111.58794499147146,203
0908770,Broad Brook CDP,Connecticut,4,0.0009970664978027344,87.4009036714785,100
0909120,Brooklyn CDP,Connecticut,3,0.0019960403442382812,53.58977825094583,146
0910660,Byram CDP,Connecticut,7,0.02591252326965332,151.32553736332272,803
0910870,Canaan CDP,Connecticut,6,0.00498652458190918,133.67570179515639,425
0911990,Cannondale CDP,Connecticut,6,0.021941423416137695,135.1971181339771,614
0912370,Canton Valley CDP,Connecticut,6,0.001993894577026367,107.35803506438482,200
0914200,Cheshire Village CDP,Connecticut,5,0.004987478256225586,105.77918107477271,286
0914370,Chester Center CDP,Connecticut,4,0.0009975433349609375,86.1193552187195,117
0915420,Clinton CDP,Connecticut,4,0.0019998550415039062,88.3870414227507,112
0915840,Colchester CDP,Connecticut,4,0.0030078887939453125,79.74975688664439,133
0916120,Collinsville CDP,Connecticut,6,0.001974344253540039,108.8688179491646,207
0916960,Conning Towers Nautilus Park CDP,Connecticut,3,0.0019943714141845703,61.7817479593423,121
0917520,Cos Cob CDP,Connecticut,7,0.02429819107055664,147.04567488624502,795
0917835,Coventry Lake CDP,Connecticut,4,0.0019919872283935547,73.6072730744215,136
0918220,Crystal Lake CDP,Connecticut,4,0.001954317092895508,82.4147272446283,130
0918430,Danbury city,Connecticut,6,0.018953323364257812,138.032088108289,601
0918780,Danielson borough,Connecticut,3,0.001001119613647461,52.17003425576454,156
0918920,Darien CDP,Connecticut,6,0.02592611312866211,140.04537881546798,818
0919200,Deep River Center CDP,Connecticut,4,0.0009982585906982422,84.8833943736267,115
