ID Number,City Name,State,Depth,Excecution Time,Cost,Nodes Expanded
0901150,Ansonia city,Connecticut,5,0.003989458084106445,116.78894372673132,321
0902550,Baltic CDP,Connecticut,3,0.0019958019256591797,64.3918443724013,110
0902690,Bantam borough,Connecticut,6,0.004041194915771484,120.94629395493095,364
0904790,Bethel CDP,Connecticut,6,0.004995107650756836,134.431751336516,453
0904945,Bethlehem Village CDP,Connecticut,6,0.003985404968261719,118.38741541696244,360
0906050,Blue Hills CDP,Connecticut,5,0.0029730796813964844,92.12422633202344,250
0907345,Branford Center CDP,Connecticut,5,0.0039937496185302734,105.75754922757251,279
0908000,Bridgeport city,Connecticut,6,0.003989219665527344,126.44642021652591,413
0908420,Bristol city,Connecticut,5,0.00399327278137207,110.3738299162184,315
0908770,Broad Brook CDP,Connecticut,4,0.0029442310333251953,93.28168449768069,226
0909120,Brooklyn CDP,Connecticut,3,0.0010421276092529297,53.58977825094583,61
0910660,Byram CDP,Connecticut,7,0.006940603256225586,151.3255373633227,548
0910870,Canaan CDP,Connecticut,6,0.0059812068939208984,133.53467743967659,464
0911990,Cannondale CDP,Connecticut,6,0.005030632019042969,134.4384378009043,453
0912370,Canton Valley CDP,Connecticut,5,0.003987789154052734,107.4704836495618,329
0914200,Cheshire Village CDP,Connecticut,5,0.00399017333984375,105.7791810747727,283
0914370,Chester Center CDP,Connecticut,4,0.0019948482513427734,83.359425157666,189
0915420,Clinton CDP,Connecticut,4,0.002991914749145508,87.5909211213009,220
0915840,Colchester CDP,Connecticut,4,0.0009894371032714844,75.10103205983522,150
0916120,Collinsville CDP,Connecticut,5,0.004997730255126953,108.7347576945715,329
0916960,Conning Towers Nautilus Park CDP,Connecticut,3,0.0019919872283935547,61.7817479593423,110
0917520,Cos Cob CDP,Connecticut,7,0.005986452102661133,149.18505012036292,546
0917835,Coventry Lake CDP,Connecticut,4,0.0009531974792480469,72.38777312444384,143
0918220,Crystal Lake CDP,Connecticut,4,0.0020461082458496094,77.49741400774262,151
0918430,Danbury city,Connecticut,6,0.005931377410888672,138.6412797138063,455
0918780,Danielson borough,Connecticut,3,0.0,52.17003425576454,57
0918920,Darien CDP,Connecticut,6,0.007027387619018555,141.0674780215404,456
0919200,Deep River Center CDP,Connecticut,4,0.001993417739868164,82.50882987074431,187
0919480,Derby city,Connecticut,5,0.0039882659912109375,116.1847155677627,340
0920740,Durham CDP,Connecticut,5,0.0029921531677246094,94.46216028448812,258
0921160,East Brooklyn CDP,Connecticut,3,0.0009984970092773438,51.14579026013023,61
0922420,East Hampton CDP,Connecticut,4,0.002992391586303711,86.1479287779456,218
0922700,East Hartford CDP,Connecticut,4,0.0019490718841552734,91.5974569572866,226
0922980,East Haven CDP,Connecticut,5,0.0029897689819335938,105.2926710517453,281
0926370,Essex Village CDP,Connecticut,4,0.0019965171813964844,80.6534378510084,187
0927390,Falls Village CDP,Connecticut,6,0.0069353580474853516,132.8300389703592,463
0927810,Fenwick borough,Connecticut,4,0.0029926300048828125,81.78809572481231,186
0930190,Gales Ferry CDP,Connecticut,3,0.0019936561584472656,62.537588618190796,110
0930540,Georgetown CDP,Connecticut,6,0.004987001419067383,134.76973080601098,453
0931270,Glastonbury Center CDP,Connecticut,4,0.0029926300048828125,90.6399302007483,226
0931520,Glenville CDP,Connecticut,7,0.008977413177490234,150.9525378360085,548
0933690,Greenwich CDP,Connecticut,7,0.009971857070922852,149.50134731177388,548
0934180,Groton city,Connecticut,3,0.0019948482513427734,63.3684951120689,110
0934460,Groton Long Point borough,Connecticut,3,0.0009975433349609375,61.06943207258679,110
0935020,Guilford Center CDP,Connecticut,4,0.002991914749145508,94.8584545321272,228
0937000,Hartford city,Connecticut,5,0.002991914749145508,90.77435562163693,249
0937770,Hazardville CDP,Connecticut,4,0.003989458084106445,93.0117818787141,227
0937930,Heritage Village CDP,Connecticut,6,0.005048036575317383,122.10782974619492,373
0938050,Higganum CDP,Connecticut,4,0.002989053726196289,86.8211618903654,218
0939940,Jewett City borough,Connecticut,3,0.001998424530029297,59.650428117505896,110
0940150,Kensington CDP,Connecticut,5,0.002929210662841797,98.25999911075932,258
0941410,Lake Pocotopaug CDP,Connecticut,4,0.003056049346923828,85.4347556153629,219
